District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Season_enc,District_enc,Crop_enc,Production_log
Panchagar,Rabi,Banana,402,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,154.21843434343435,5070,2,49,4,8.531293315795018
Patuakhali,Rabi,Banana,561,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,207.8076923076923,1885,2,50,4,7.542213463193403
Rajbari,Rabi,Banana,1071,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,155.864898989899,6258,2,52,4,8.7417757069247
Rangpur,Rabi,Banana,2321,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,179.6013888888889,13041,2,55,4,9.475930197953147
Satkhira,Rabi,Banana,995,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,140.35353535353536,6240,2,56,4,8.738895704934043
Shariatpur,Rabi,Banana,413,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,155.864898989899,1563,2,57,4,7.355001921105257
Sherpur,Rabi,Banana,623,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,181.08838383838383,3480,2,58,4,8.15507488781144
Sirajganj,Rabi,Banana,583,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,142.85416666666666,4354,2,59,4,8.379079889286603
Sunamganj,Rabi,Banana,325,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,1949,2,60,4,7.575584651557793
Sylhet,Rabi,Banana,855,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,3341,2,61,4,8.114324709155339
Thakurgaon,Rabi,Banana,1161,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,154.21843434343435,5855,2,63,4,8.675222055641148
